sale_id,product_id,customer_id,quantity_sold,sale_amount,sale_date,region
94,106,217,10,3500,01-02-24,West
95,111,282,1,80,29-01-24,South
96,104,242,6,600,16-07-24,North
97,,260,5,1000,,West
98,116,248,8,400,10-11-24,
99,116,,5,250,11-07-24,North
100,111,264,3,240,14-10-24,South
101,116,234,2,100,27-01-24,North
102,,300,2,100,09-06-24,
103,110,203,,350,23-12-24,West
104,102,287,8,2400,,West
105,115,220,3,90,09-05-24,South
106,104,,10,1000,01-05-24,East
107,104,290,,900,14-02-24,West
108,113,,4,100,08-10-24,South
109,104,272,4,400,,West
110,109,257,5,,15-03-24,South
111,113,227,10,250,26-10-24,East
112,107,268,10,2000,18-01-25,West
113,102,285,2,600,07-09-24,East
114,112,239,4,400,05-07-24,East
115,113,241,2,50,24-08-24,South
116,113,224,4,100,17-05-24,North
117,103,284,3,720,26-03-24,West
118,105,281,5,2000,03-09-24,North
119,114,226,1,150,20-11-24,North
120,106,298,10,3500,,East
121,102,262,2,600,26-03-24,North
122,106,296,3,1050,15-10-24,East
123,,278,6,120,30-03-24,East
124,110,271,4,200,10-08-24,East
125,111,290,10,800,09-02-24,West
126,,281,9,1800,,South
127,115,218,10,300,05-09-24,South
128,102,218,1,300,25-08-24,South
129,115,248,10,300,,West
130,115,263,6,180,12-09-24,West
131,103,285,4,960,05-06-24,South
132,,,8,1600,14-06-24,
133,103,237,7,1680,03-10-24,South
134,104,220,6,600,30-05-24,North
135,115,,1,30,21-08-24,East
136,,214,6,2100,29-09-24,South
137,115,281,3,90,13-06-24,West
138,109,209,8,160,,West
139,105,211,10,4000,02-08-24,West
140,102,282,1,300,09-10-24,North
141,102,223,8,2400,15-11-24,South
142,105,257,5,2000,01-09-24,North
143,109,218,10,200,05-10-24,North
144,111,201,6,480,13-03-24,North
145,113,233,10,250,21-03-24,South
146,102,269,3,900,30-12-24,North
147,108,241,3,1800,22-12-24,
148,113,230,2,50,12-12-24,East
149,113,224,3,75,25-03-24,
150,109,204,5,100,13-10-24,North
151,113,214,8,200,31-01-24,North
152,108,221,5,3000,27-02-24,South
153,114,207,7,1050,04-01-25,North
154,110,247,10,500,27-07-24,North
155,104,227,9,900,07-02-24,South
156,102,269,8,2400,03-05-24,North
157,115,290,5,150,19-07-24,West
158,101,290,5,1250,12-05-24,
159,108,279,9,5400,22-02-24,East
160,105,251,5,2000,02-12-24,
161,111,225,2,160,,North
162,107,298,10,2000,22-11-24,South
163,107,241,2,,08-05-24,East
164,115,203,9,270,20-07-24,North
165,105,269,1,400,11-09-24,West
166,115,274,2,60,08-05-24,West
167,113,236,4,100,23-07-24,North
168,101,208,6,1500,15-10-24,South
169,104,261,3,300,,West
170,115,283,3,90,02-11-24,North
171,114,292,1,150,29-08-24,North
172,106,252,1,350,14-04-24,South
173,110,210,7,350,25-01-24,West
174,115,234,10,300,05-09-24,East
175,105,262,8,3200,31-08-24,
176,103,253,4,960,13-12-24,South
177,108,224,9,5400,20-09-24,East
178,104,296,5,500,25-04-24,West
179,101,,4,1000,04-05-24,East
180,,224,3,90,04-09-24,
181,112,270,2,200,15-07-24,North
182,111,243,,240,29-02-24,North
183,106,239,2,700,,West
184,111,284,6,480,04-11-24,South
185,,,,3600,04-06-24,South
186,112,204,4,400,17-11-24,West
187,110,261,2,100,07-02-24,West
188,107,272,3,600,12-05-24,South
189,106,,4,,26-05-24,
190,115,287,,30,21-05-24,East
191,,208,10,250,07-04-24,North
192,103,252,6,1440,,
193,114,,1,150,26-10-24,East
194,102,283,5,1500,17-06-24,South
195,102,245,10,3000,13-04-24,South
196,106,286,10,3500,12-08-24,West
197,114,287,10,1500,24-10-24,North
198,111,236,,720,01-12-24,South
199,112,215,2,200,13-05-24,South
200,108,245,1,600,18-08-24,North
201,,252,4,400,13-05-24,East
202,106,224,1,350,28-09-24,South
203,102,203,4,1200,01-07-24,
204,115,,8,,18-09-24,South
205,115,270,3,,30-06-24,South
206,107,201,3,600,17-10-24,West
207,115,272,5,150,,North
208,116,212,4,200,24-11-24,West
209,101,232,6,1500,22-01-24,South
210,107,229,3,600,12-06-24,East
211,113,269,1,25,19-01-25,West
212,104,243,5,500,08-04-24,West
213,102,210,9,2700,02-12-24,West
214,107,216,8,1600,27-05-24,West
215,114,230,2,300,29-07-24,West
216,114,277,8,1200,31-12-24,South
217,104,249,8,800,18-01-25,North
218,111,226,10,800,20-12-24,South
219,103,282,10,2400,03-12-24,
220,116,212,7,350,13-06-24,West
221,108,222,7,4200,,South
222,107,255,2,400,18-07-24,East
223,115,210,5,150,04-07-24,South
224,107,296,3,600,06-05-24,East
225,104,208,7,700,22-02-24,South
226,104,261,7,700,30-09-24,South
227,102,209,,2100,19-05-24,South
228,,296,10,3500,24-05-24,West
229,110,283,,300,11-01-25,West
230,113,217,9,225,22-02-24,South
231,105,260,6,2400,09-12-24,East
232,102,258,4,1200,27-07-24,North
233,102,297,2,600,24-02-24,East
234,105,258,7,2800,28-06-24,East
235,107,250,10,2000,27-07-24,West
236,113,262,3,75,29-01-24,North
237,106,261,7,2450,17-11-24,South
238,107,295,10,2000,30-05-24,West
239,104,263,4,400,29-08-24,West
240,106,233,3,1050,29-01-24,East
241,102,240,9,2700,21-12-24,North
242,102,215,3,900,18-07-24,East
243,106,234,10,3500,21-07-24,South
244,115,231,3,90,20-12-24,East
245,103,254,4,960,22-01-24,West
246,115,221,6,180,12-12-24,North
247,109,287,9,180,17-03-24,North
248,110,296,8,400,20-09-24,South
249,101,274,1,250,20-10-24,West
250,103,210,9,2160,14-06-24,West
251,103,219,4,960,11-09-24,East
252,115,297,3,90,31-08-24,North
253,108,242,8,4800,01-09-24,North
254,110,269,1,50,09-08-24,North
255,106,270,6,2100,09-12-24,East
256,105,291,4,1600,26-12-24,South
257,109,207,10,200,12-09-24,South
258,105,285,10,4000,03-02-24,East
259,106,201,6,2100,18-02-24,West
260,116,217,2,100,08-12-24,South
261,114,246,8,1200,23-05-24,North
262,113,246,8,200,07-12-24,East
263,113,285,3,75,31-07-24,South
264,107,217,9,1800,10-09-24,West
265,113,282,2,50,09-05-24,South
266,111,292,9,720,25-12-24,East
267,101,202,3,750,27-04-24,West
268,113,220,8,200,04-05-24,East
269,106,207,6,2100,14-07-24,West
270,101,271,3,750,04-04-24,North
271,102,260,2,600,03-02-24,East
272,112,268,7,700,06-03-24,North
273,114,260,2,300,28-11-24,South
274,107,249,2,400,13-08-24,West
275,107,286,3,600,03-10-24,East
276,101,257,2,500,31-07-24,South
277,101,238,6,1500,28-08-24,North
278,101,204,7,1750,25-05-24,South
279,104,213,7,700,10-03-24,South
280,115,295,10,300,26-01-24,East
281,115,283,3,90,16-02-24,North
282,107,295,8,1600,30-05-24,West
283,101,267,8,2000,08-03-24,South
284,112,238,8,800,02-12-24,North
285,107,290,9,1800,26-09-24,West
286,101,204,8,2000,28-03-24,East
287,107,276,5,1000,17-06-24,North
288,116,258,9,450,16-07-24,West
289,105,252,2,800,18-08-24,North
290,103,253,5,1200,22-01-24,South
291,103,297,6,1440,11-05-24,South
292,102,204,1,300,03-10-24,South
293,105,215,5,2000,14-08-24,East
294,101,276,6,1500,21-04-24,North
295,102,248,5,1500,16-01-25,West
296,113,292,9,225,27-08-24,North
297,114,241,8,1200,04-04-24,North
298,102,251,5,1500,29-04-24,North
299,112,213,5,500,06-11-24,South
300,101,267,5,1250,13-03-24,North
